Address,Smart Degen Count,Renowned Count,Bluechip Count,Market Cap,Current Liquidity,Initial Liquidity,Liquidity Growth
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,34,236,0,3057820000.00,38280800.00,5.23,7316272.47
HuAncxDEsakCDgZS2Yfo9xJbHmtHXMnxxkT9jqdXnHhm,15,58,0,12506600.00,1372840.00,34245.66,40.09
Hjw6bEcHtbHGpQr8onG3izfJY5DJiWdt7uk2BfdSpump,15,41,0,72648200.00,3134960.00,30240.09,103.67
FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,14,49,0,140469000.00,5217190.00,24631.15,211.81
2UBBpp7JEEZQg7ZHTavtL4cbcMXzxXkRiA6twUqGZNM1,12,20,0,1566060.00,241952.00,30007.82,8.06
ByXTsen3ftsd7SsqgXpSZqrEeoMV8Smhz1vox9j6pump,11,36,0,5572550.00,577993.00,35527.13,16.27
XC78JjRHnSqaysrHiTrhR8eRngFbvX3rrHyRjWEpump,9,18,0,2400020.00,389611.00,30576.65,12.74
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,8,56,0,2021650000.00,20739900.00,0.00,0.00
GorvUUSkJGSzJUebM5W6berUkZ5pG8nmnn7tmk74pump,8,31,0,22464600.00,2030300.00,29759.74,68.22
CiwMDzUZ7jzi4e8thjPJquKcrUesLsUGjo9jtzyvpump,6,7,0,2824570.00,344829.00,30584.55,11.27
CboMcTUYUcy9E6B3yGdFn6aEsGUnYV6yWeoeukw6pump,4,10,0,11859100.00,845065.00,29254.11,28.89
AsyfR3e5JcPqWot4H5MMhQUm7DZ4zwQrcp2zbB7vpump,4,8,0,13218700.00,735121.00,26632.36,27.60
CAxoUYhQ4B1kqcsgir8LLLfKPQYbUDP65qA9tE9VMCWq,3,12,0,18290600.00,951409.00,1889.60,503.50
7Uuzh9JwqF8z3u6MWpQuQJbpD1u46xPDY6PGjwfwTh4o,3,3,0,1005560.00,121338.00,30074.18,4.03
HNi43Ue8Qz8XegA9q8AWbV9DxzJxcexm8czE1fhppump,3,3,0,596316.00,96810.00,30127.90,3.21
BAEXK4X6B3hkqmEkPuyyZQ5fZUb5iZ6SaJ7a9UDnpump,3,13,0,4657130.00,536582.00,29946.19,17.92
BUDXpnu7opuGuJkQZdet9nAxSzb67MLJpkzJmaKkpump,3,18,0,3684520.00,334984.00,30665.14,10.92
48BVWSkY5XxZ9HwaKet2kAYvjP9gPviUmm8Xg2EKCLNx,2,6,0,398851.00,76921.20,29987.27,2.57
77KhqraBouiU91KRchLPY8DYbVtfsH4nSBgHCd4UAwBY,2,4,0,1320210.00,158623.00,30115.26,5.27
HYYYWEr66RemvBZn849aqs4669Dfv5JcpuC87a35RLj1,2,6,0,295236.00,76538.40,30151.61,2.54
62mETtNRaVY5iNsJr5YexsbVg1uyyoLwtoWLSnjApump,2,18,0,11880600.00,830203.00,37766.14,21.98
5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,1,10,0,687701.00,120013.00,9293.00,12.91
149eV9govfbeNAJv2L7h71UsTP7KuckDBzgc4qZ9pump,1,7,0,148599.00,47452.10,34918.79,1.36
J6GrtSK2moUyuFd2Lq4QTgwfLsSrN7whfCgmgR925wYJ,1,1,0,83242.60,34506.50,30018.88,1.15
EwZpxC1N1a445vmcrNPsQ6dQzLcMbcbM6syknuky8p8G,1,2,0,850343.00,103457.00,30031.52,3.44
Bmkdg4xTi5ttx11tbwUZRkNRAgvWdi1Ehx5QFzhfpump,1,12,0,4915020.00,371757.00,30801.03,12.07
D1fdNWNWEVrohVRwiCATUe3JEagZ1majqPSWUgWtpump,1,0,0,25618.40,18152.20,29988.85,0.61
DCW9BDV9R3i34fQYgddtyGZA8RpfBHrPxhN9hXfupump,1,11,0,1129510.00,184196.00,31371.45,5.87
HzzFyrSC776Gy3oxbUouDWKgKZDrviqCzdWZHeUnzJrB,1,0,0,30232.90,19958.60,30037.84,0.66
rVnH9RgdDcee4RiACoCWFcVmEuGfY61wrKsmZo5T3nr,1,0,0,15000.90,14353.80,0.00,0.00
FzHEzAN832cabenLPssFXcp9eFsbs5J9S23KQPcDpump,1,1,0,12399.20,12707.80,30018.88,0.42
Aj1599Fdxb5ZkNSQHUef9vKBhY5CwqnRPHbbweVa7sqB,1,1,0,615451.00,105041.00,29928.81,3.51
9g4CxMCELutB1p7eU8iKws7gJDqiKQic2JX3E9P7t4xH,1,1,0,43001.80,23649.40,29985.69,0.79
8TdS6JLuKARhznQx3DXS22QtVyL5AUwgT19zdym3dhXL,1,0,0,45769.30,24263.20,0.00,0.00
